maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
skoda,roomster,103500.0,2009.0,1598.0,77.0,van,grey,2016.0,man,5.0,5.0,gasoline,2016-01-09 21:23:04.91466+00,2016-07-03 17:01:40.877336+00,6980.0
ford,tourneo-connect,68000.0,2006.0,1753.0,66.0,van,silver,2017.0,man,4.0,5.0,diesel,2016-01-09 21:23:06.425254+00,2016-01-19 19:20:55.320308+00,13900.0
audi,a5,95000.0,2012.0,2967.0,180.0,convertible,grey,2017.0,auto,2.0,4.0,diesel,2016-01-09 21:41:59.725448+00,2016-07-03 17:02:28.162454+00,32490.0
ford,transit,104000.0,2004.0,1998.0,92.0,transporter,white,2017.0,man,2.0,2.0,diesel,2016-01-09 21:42:02.689702+00,2016-01-19 19:21:26.657456+00,4999.0
opel,zafira,186000.0,2001.0,2198.0,108.0,van,black,2016.0,man,5.0,7.0,gasoline,2016-01-09 21:42:39.250403+00,2016-07-03 17:02:36.399219+00,1800.0
opel,zafira,47704.0,2009.0,1796.0,103.0,van,grey,2016.0,man,5.0,7.0,gasoline,2016-01-09 21:42:40.669385+00,2016-07-03 17:05:24.981455+00,9900.0
opel,zafira,174000.0,2004.0,1796.0,92.0,transporter,blue,2016.0,man,5.0,7.0,gasoline,2016-01-09 21:43:44.347199+00,2016-01-19 19:22:20.793406+00,1650.0
suzuki,baleno,289522.0,1997.0,1839.0,89.0,compact,green,2016.0,man,2.0,5.0,gasoline,2016-01-09 22:09:26.880789+00,2016-01-19 19:23:48.47289+00,750.0
citroen,xsara-picasso,165000.0,2002.0,1749.0,85.0,van,grey,2016.0,man,4.0,5.0,gasoline,2016-01-09 22:09:27.302249+00,2016-07-03 17:02:48.368947+00,1650.0
suzuki,baleno,289522.0,1997.0,1839.0,89.0,compact,green,2016.0,man,2.0,5.0,gasoline,2016-01-09 22:09:28.587424+00,2016-01-19 19:23:53.061511+00,750.0
toyota,starlet,125000.0,1997.0,1300.0,55.0,compact,green,2016.0,man,2.0,5.0,gasoline,2016-01-09 22:38:08.149077+00,2016-07-03 17:06:34.172279+00,4500.0
hyundai,santa-fe,130000.0,2006.0,2656.0,139.0,van,black,2016.0,man,4.0,5.0,gasoline,2016-01-09 23:22:08.419871+00,2016-01-19 19:28:00.918236+00,7750.0
fiat,punto,198000.0,1999.0,1242.0,44.0,compact,grey,2016.0,man,2.0,5.0,gasoline,2016-01-10 00:23:36.801946+00,2016-01-19 19:30:36.292596+00,900.0
mitsubishi,space,165000.0,1999.0,1299.0,63.0,van,grey,2017.0,man,5.0,5.0,gasoline,2016-01-10 00:23:40.511044+00,2016-01-19 19:30:51.434849+00,1190.0
seat,arosa,192000.0,2000.0,1390.0,44.0,compact,red,2016.0,man,2.0,4.0,gasoline,2016-01-10 00:51:38.475673+00,2016-01-19 19:31:48.322616+00,1695.0
suzuki,swift,98000.0,1999.0,1298.0,50.0,compact,blue,2016.0,man,2.0,5.0,gasoline,2016-01-10 00:51:40.54975+00,2016-07-03 16:58:48.328544+00,900.0
opel,corsa,108000.0,2000.0,1199.0,48.0,compact,blue,2018.0,man,2.0,5.0,gasoline,2016-01-10 01:20:56.715645+00,2016-07-03 16:55:42.595201+00,1200.0
opel,astra,270000.0,1999.0,1995.0,60.0,compact,blue,2016.0,man,2.0,5.0,diesel,2016-01-10 01:21:47.338839+00,2016-01-19 19:33:45.109399+00,750.0
nissan,micra,91000.0,1994.0,998.0,40.0,compact,grey,2018.0,auto,2.0,5.0,gasoline,2016-01-10 02:05:31.717272+00,2016-01-19 19:34:12.786615+00,1500.0
smart,fortwo,53780.0,2009.0,999.0,72.0,convertible,silver,2017.0,auto,2.0,2.0,gasoline,2016-01-10 02:05:34.649573+00,2016-01-19 19:34:20.136473+00,9985.0
mitsubishi,space,21500.0,2014.0,1193.0,59.0,compact,green,2017.0,man,4.0,5.0,gasoline,2016-01-10 02:05:37.000089+00,2016-01-19 19:34:26.278676+00,8900.0
citroen,berlingo,88000.0,2006.0,1560.0,55.0,van,blue,2017.0,man,4.0,5.0,diesel,2016-01-10 02:05:44.361479+00,2016-07-03 17:01:49.594923+00,2900.0
fiat,punto-evo,172886.0,2011.0,1248.0,55.0,compact,white,2016.0,man,2.0,5.0,diesel,2016-01-10 02:05:47.575326+00,2016-07-03 17:01:35.95489+00,4950.0
opel,agila,174127.0,2008.0,996.0,48.0,compact,blue,2018.0,man,4.0,5.0,gasoline,2016-01-10 02:05:47.595245+00,2016-07-03 17:01:35.99014+00,3450.0
citroen,berlingo,180454.0,2007.0,1560.0,66.0,van,grey,2016.0,man,4.0,5.0,diesel,2016-01-10 02:05:47.795386+00,2016-07-03 18:43:38.110685+00,4350.0
fiat,500,3024.0,2014.0,1242.0,51.0,convertible,black,2017.0,man,2.0,4.0,gasoline,2016-01-10 02:05:48.584476+00,2016-07-03 18:43:38.153508+00,11950.0
opel,corsa,56430.0,2012.0,1248.0,70.0,compact,silver,2017.0,man,4.0,5.0,diesel,2016-01-10 02:05:48.690046+00,2016-07-03 17:01:36.0251+00,7850.0
opel,corsa,200000.0,1998.0,973.0,40.0,compact,yellow,2017.0,man,2.0,5.0,gasoline,2016-01-10 02:06:05.533427+00,2016-07-03 18:44:01.435678+00,999.0
opel,corsa,200000.0,1998.0,973.0,40.0,compact,yellow,2017.0,man,2.0,5.0,gasoline,2016-01-10 02:06:05.550826+00,2016-01-19 19:51:03.379739+00,999.0
chevrolet,matiz,56000.0,2007.0,796.0,38.0,compact,blue,2016.0,man,4.0,5.0,gasoline,2016-01-10 02:26:26.382705+00,2016-07-03 16:57:17.204539+00,2470.0
